Age,SpendCategoryA,SpendCategoryB,PerformedAction
43,20,44,0
60,1785,1330,0
54,44,0,0
43,6,967,0
42,242,18,0
52,1224,660,0
67,1256,390,0
35,0,243,0
56,0,26,0
37,9,23,0
27,0,68,0
35,0,5,0
22,0,45,0
55,36,31,0
28,694,908,0
52,1534,263,0
36,22,0,0
23,570,146,0
53,200,215,0
22,125,11453,0
47,0,14,0
28,1013,1278,0
37,5,0,0
56,22,9,0
57,0,72,0
35,0,135,0
40,108,117,0
54,69,0,0
29,4135,4586,0
59,20,88,0
33,45,0,0
58,301,947,0
69,191,86,0
42,48,221,0
81,83,13,0
64,817,302,0
60,28,142,0
56,10,17,0
50,5,0,0
76,2,0,0
32,117,651,0
69,9,212,0
46,0,96,0
51,43,0,0
59,0,5,0
67,6,0,0
58,0,720,0
53,122,2,0
62,1133,1504,0
60,5,11336,0
45,307,173,0
55,32,65,0
57,188,103,0
64,56,54,0
79,1368,0,0
73,113,0,0
50,9,0,0
59,119,369,0
69,234,98,0
49,18,510,0
54,266,8391,0
43,808,381,0
29,0,1328,0
57,240,3510,0
21,0,86,0
30,203,302,0
63,161,194,0
53,20,16,0
115,0,416,0
60,11,9,0
53,72,0,0
40,101,75,0
32,405,4377,0
43,442,1911,0
43,970,2569,0
42,85,191,0
44,800,171,0
31,12,41,0
53,0,450,0
29,0,3,0
64,0,90,0
43,12,0,0
54,748,205,0
62,18,0,0
73,24,0,0
55,0,117,0
20,166,1760,0
60,632,353,0
27,168,312,0
64,87,38,0
83,35,0,0
20,0,5104,0
28,27,29,0
67,575,27,0
32,1207,31,0
43,9,32,0
39,526,309,0
36,15,86,0
30,0,43,0
37,0,5,0
48,282,723,0
30,0,8055,0
34,9,0,0
78,9,0,0
52,0,90,0
91,72,0,0
51,146,0,0
59,45,68,0
39,0,23,0
50,90,689,0
53,868,5849,0
40,136,842,0
66,163,2,0
57,1162,0,0
20,5,0,0
72,713,0,0
44,109,507,0
62,0,14,0
55,0,18,0
31,7683,11800,0
42,27,260,0
50,773,59,0
50,300,294,0
54,202,0,0
68,102,0,0
56,378,92,0
68,18,72,0
45,1486,1049,0
36,0,152,0
31,69,583,0
75,2211,0,0
34,0,30,0
29,0,63,0
27,0,44,0
54,0,30,0
44,0,43,0
45,0,68,0
44,256,1014,0
34,134,109,0
72,14,9,0
71,0,4,0
46,18,0,0
41,410,4739,0
50,5020,320,0
43,7928,25226,0
49,16,123,0
