Age,SpendCategoryA,SpendCategoryB,PerformedAction
31,0,3704,1
35,0,4003,1
33,0,3701,1
26,0,1296,1
38,0,922,1
29,975,3351,1
35,71,3084,1
35,0,10513,1
53,114,433,1
30,0,2777,1
36,0,303,1
38,0,3362,1
21,0,5,1
63,131,186,1
58,0,1409,1
22,45,2382,1
46,2930,2449,1
25,0,221,1
46,23,244,1
41,224,5540,1
24,0,2248,1
36,0,368,1
39,0,1874,1
56,186,8640,1
60,0,2049,1
33,5,11976,1
50,0,896,1
53,0,3411,1
21,0,711,1
59,530,196,1
48,0,672,1
18,0,3308,1
36,0,453,1
38,0,555,1
39,133,7538,1
62,197,6642,1
21,41,527,1
22,0,869,1
18,0,864,1
27,23,918,1
30,17,1054,1
32,0,41,1
25,0,1753,1
20,0,2887,1
32,128,13838,1
26,0,2885,1
30,0,45,1
37,8986,2600,1
24,65,948,1
32,323,1499,1
28,0,561,1
81,0,8667,1
37,0,3731,1
34,45,995,1
30,0,1156,1
25,0,3393,1
28,1423,2342,1
36,0,1493,1
48,108,6,1
31,0,374,1
56,0,172,1
53,0,3974,1
23,0,11,1
20,0,1565,1
61,63,349,1
40,327,1691,1
58,4501,1848,1
31,0,2367,1
30,47,2691,1
51,56,3706,1
35,0,14,1
43,0,486,1
31,0,23,1
28,275,4365,1
49,0,2334,1
32,9,8003,1
48,0,315,1
37,18,3333,1
30,58,4563,1
25,0,609,1
44,0,18,1
36,0,23,1
23,359,4171,1
26,0,2865,1
42,0,3902,1
22,0,1969,1
35,0,7385,1
27,0,3776,1
23,105,2697,1
30,0,11154,1
44,0,54,1
40,3,3427,1
45,126,176,1
37,0,3075,1
23,153,979,1
31,0,3600,1
23,0,72,1
51,247,18955,1
21,0,1769,1
33,69,1967,1
30,0,1049,1
30,0,1209,1
46,9,1526,1
65,668,642,1
35,0,2943,1
23,59,1954,1
41,237,3776,1
30,0,3116,1
33,263,815,1
36,0,4253,1
32,0,7026,1
32,0,582,1
41,0,4245,1
79,149,1004,1
45,36,607,1
22,0,3519,1
31,0,4280,1
50,82,110,1
33,24,902,1
33,0,2618,1
31,0,3176,1
30,6,14,1
22,428,2419,1
39,0,56,1
44,127,4376,1
35,255,1449,1
30,0,117,1
35,0,12353,1
59,0,3425,1
30,0,5400,1
47,109,3301,1
21,0,1233,1
41,93,4403,1
26,0,3047,1
31,18,1472,1
33,0,1933,1
41,83,36,1
20,0,48,1
25,0,1724,1
32,99,1355,1
30,0,7691,1
28,41,1823,1
49,256,2049,1
30,32,1638,1
27,0,45,1
29,6449,14449,1
35,58,3458,1
29,0,4227,1
66,80,2534,1
33,0,27,1
45,1,1050,1
28,36,611,1
34,0,491,1
36,0,4207,1
34,0,2732,1
29,0,1562,1
45,2,1,1
25,134,6099,1
26,233,72,1
32,0,331,1
32,0,3605,1
44,0,13682,1
30,0,996,1
50,3309,5492,1
33,0,18,1
36,0,450,1
46,59,3236,1
34,137,17078,1
25,0,3081,1
39,52,4387,1
52,43,182,1
28,23,2228,1
42,0,100,1
40,5,2957,1
28,0,1233,1
21,0,1288,1
40,3,2561,1
45,0,3480,1
32,81,1023,1
43,100,2436,1
27,0,2635,1
31,17,793,1
32,0,1404,1
44,0,316,1
30,90,3006,1
30,0,7704,1
27,0,3625,1
43,120,3719,1
59,0,4874,1
33,0,2156,1
33,0,19,1
29,281,63,1
62,510,1068,1
21,0,313,1
51,433,2077,1
27,0,3976,1
24,0,3381,1
32,0,1827,1
35,0,3472,1
44,0,2660,1
25,386,5720,1
17,5,62,1
51,0,4483,1
21,0,23,1
31,0,450,1
23,0,275,1
34,0,2447,1
17,0,766,1
37,13,4298,1
25,248,5139,1
31,157,8303,1
41,176,4073,1
30,65,2202,1
38,0,446,1
32,9,349,1
30,17,1050,1
25,0,1006,1
31,345,3383,1
34,21483,7718,1
42,0,1517,1
24,49,2623,1
36,15,2912,1
21,0,1014,1
34,0,1301,1
